Middle East & North Africa,MEA,"GDP per capita, PPP (current international $)",16011.38747
Mexico,MEX,"GDP per capita, PPP (current international $)",18444.07305
Marshall Islands,MHL,"GDP per capita, PPP (current international $)",4147.938104
Middle income,MIC,"GDP per capita, PPP (current international $)",11854.08816
Macedonia,MKD,"GDP per capita, PPP (current international $)",16925.51505
Mali,MLI,"GDP per capita, PPP (current international $)",2347.988174
Malta,MLT,"GDP per capita, PPP (current international $)",42461.25371
Myanmar,MMR,"GDP per capita, PPP (current international $)",5123.825603
Middle East & North Africa (excluding high income),MNA,"GDP per capita, PPP (current international $)",10327.42431
Montenegro,MNE,"GDP per capita, PPP (current international $)",19989.57158
Mongolia,MNG,"GDP per capita, PPP (current international $)",12366.94712
Northern Mariana Islands,MNP,"GDP per capita, PPP (current international $)",
Mozambique,MOZ,"GDP per capita, PPP (current international $)",1297.404531
Mauritania,MRT,"GDP per capita, PPP (current international $)",5390.086099
Mauritius,MUS,"GDP per capita, PPP (current international $)",20530.50523
Malawi,MWI,"GDP per capita, PPP (current international $)",1591.605401
Malaysia,MYS,"GDP per capita, PPP (current international $)",27923.68768
North America,NAC,"GDP per capita, PPP (current international $)",61497.65869
Namibia,NAM,"GDP per capita, PPP (current international $)",9298.086814
New Caledonia,NCL,"GDP per capita, PPP (current international $)",
Niger,NER,"GDP per capita, PPP (current international $)",1288.258582
Nigeria,NGA,"GDP per capita, PPP (current international $)",5186.411583
Nicaragua,NIC,"GDP per capita, PPP (current international $)",5569.721552
Netherlands,NLD,"GDP per capita, PPP (current international $)",59266.90858
Norway,NOR,"GDP per capita, PPP (current international $)",62644.84574
Nepal,NPL,"GDP per capita, PPP (current international $)",4008.505516
Nauru,NRU,"GDP per capita, PPP (current international $)",14340.17241
New Zealand,NZL,"GDP per capita, PPP (current international $)",44491.32491
OECD members,OED,"GDP per capita, PPP (current international $)",44855.39104
Oman,OMN,"GDP per capita, PPP (current international $)",31120.29585
Other small states,OSS,"GDP per capita, PPP (current international $)",22237.00826
Pakistan,PAK,"GDP per capita, PPP (current international $)",4812.889818
Panama,PAN,"GDP per capita, PPP (current international $)",26782.48498
Peru,PER,"GDP per capita, PPP (current international $)",11878.52154
Philippines,PHL,"GDP per capita, PPP (current international $)",8389.848594
Palau,PLW,"GDP per capita, PPP (current international $)",16321.98561
Papua New Guinea,PNG,"GDP per capita, PPP (current international $)",4286.634449
Poland,POL,"GDP per capita, PPP (current international $)",34286.98508
Pre-demographic dividend,PRE,"GDP per capita, PPP (current international $)",3540.275722
Puerto Rico,PRI,"GDP per capita, PPP (current international $)",34336.54771
"North Korea",PRK,"GDP per capita, PPP (current international $)",
Portugal,PRT,"GDP per capita, PPP (current international $)",34177.08571
Paraguay,PRY,"GDP per capita, PPP (current international $)",13069.17612
West Bank and Gaza,PSE,"GDP per capita, PPP (current international $)",5689.945334
Pacific island small states,PSS,"GDP per capita, PPP (current international $)",6740.668537
Post-demographic dividend,PST,"GDP per capita, PPP (current international $)",49558.02158
French Polynesia,PYF,"GDP per capita, PPP (current international $)",
Qatar,QAT,"GDP per capita, PPP (current international $)",89968.77102
Romania,ROU,"GDP per capita, PPP (current international $)",32099.40572
Russia,RUS,"GDP per capita, PPP (current international $)",29812.21025
Rwanda,RWA,"GDP per capita, PPP (current international $)",2213.828054
South Asia,SAS,"GDP per capita, PPP (current international $)",6133.036522
Saudi Arabia,SAU,"GDP per capita, PPP (current international $)",46759.65723
Sudan,SDN,"GDP per capita, PPP (current international $)",4142.448609
Senegal,SEN,"GDP per capita, PPP (current international $)",3502.820004
Singapore,SGP,"GDP per capita, PPP (current international $)",98520.02954
Solomon Islands,SLB,"GDP per capita, PPP (current international $)",2619.061502
Sierra Leone,SLE,"GDP per capita, PPP (current international $)",1727.105018
El Salvador,SLV,"GDP per capita, PPP (current international $)",8420.486205
"San Marino",SMR,"GDP per capita, PPP (current international $)",
Somalia,SOM,"GDP per capita, PPP (current international $)",1245.743885
Serbia,SRB,"GDP per capita, PPP (current international $)",19093.86534
Sub-Saharan Africa (excluding high income),SSA,"GDP per capita, PPP (current international $)",3907.519288
South Sudan,SSD,"GDP per capita, PPP (current international $)",
Sub-Saharan Africa,SSF,"GDP per capita, PPP (current international $)",3909.412665
Small states,SST,"GDP per capita, PPP (current international $)",20127.42502
Sao Tome and Principe,STP,"GDP per capita, PPP (current international $)",4273.841991
Suriname,SUR,"GDP per capita, PPP (current international $)",16734.74755
Slovakia,SVK,"GDP per capita, PPP (current international $)",31356.45828
Slovenia,SVN,"GDP per capita, PPP (current international $)",39725.25919
Sweden,SWE,"GDP per capita, PPP (current international $)",55037.7239
Eswatini,SWZ,"GDP per capita, PPP (current international $)",8865.740219
Sint Maarten (Dutch part),SXM,"GDP per capita, PPP (current international $)",
Seychelles,SYC,"GDP per capita, PPP (current international $)",25767.61295
Syria,SYR,"GDP per capita, PPP (current international $)",
Turks and Caicos Islands,TCA,"GDP per capita, PPP (current international $)",22285.79678
Chad,TCD,"GDP per capita, PPP (current international $)",1602.358424
East Asia & Pacific (IDA & IBRD countries),TEA,"GDP per capita, PPP (current international $)",15343.36881
Europe & Central Asia (IDA & IBRD countries),TEC,"GDP per capita, PPP (current international $)",24016.87258
Togo,TGO,"GDP per capita, PPP (current international $)",2223.498303
Thailand,THA,"GDP per capita, PPP (current international $)",18232.79535
Tajikistan,TJK,"GDP per capita, PPP (current international $)",3858.197391
Turkmenistan,TKM,"GDP per capita, PPP (current international $)",
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GDP per capita, PPP (current international $)",15561.8276
Timor-Leste,TLS,"GDP per capita, PPP (current international $)",4141.29283
Middle East & North Africa (IDA & IBRD countries),TMN,"GDP per capita, PPP (current international $)",10385.44335
Tonga,TON,"GDP per capita, PPP (current international $)",6695.142862
South Asia (IDA & IBRD),TSA,"GDP per capita, PPP (current international $)",6133.036522
Sub-Saharan Africa (IDA & IBRD countries),TSS,"GDP per capita, PPP (current international $)",3909.412665
Trinidad and Tobago,TTO,"GDP per capita, PPP (current international $)",25023.69525
Tunisia,TUN,"GDP per capita, PPP (current international $)",10822.84717
Turkey,TUR,"GDP per capita, PPP (current international $)",27235.42583
Tuvalu,TUV,"GDP per capita, PPP (current international $)",4652.953844
Tanzania,TZA,"GDP per capita, PPP (current international $)",2779.91029
Uganda,UGA,"GDP per capita, PPP (current international $)",2294.335107
Ukraine,UKR,"GDP per capita, PPP (current international $)",13054.76099
Upper middle income,UMC,"GDP per capita, PPP (current international $)",18073.14815
Uruguay,URY,"GDP per capita, PPP (current international $)",22793.68798
USA,USA,"GDP per capita, PPP (current international $)",63206.52108
Uzbekistan,UZB,"GDP per capita, PPP (current international $)",7734.024495
St. Vincent and the Grenadines,VCT,"GDP per capita, PPP (current international $)",12705.01861
Venezuela,VEN,"GDP per capita, PPP (current international $)",
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",
Virgin Islands (U.S.),VIR,"GDP per capita, PPP (current international $)",
Vietnam,VNM,"GDP per capita, PPP (current international $)",8650.13347
Vanuatu,VUT,"GDP per capita, PPP (current international $)",3010.855129
World,WLD,"GDP per capita, PPP (current international $)",17131.00889
Samoa,WSM,"GDP per capita, PPP (current international $)",6768.749039
Kosovo,XKX,"GDP per capita, PPP (current international $)",11293.78376
"Yemen, Rep.",YEM,"GDP per capita, PPP (current international $)",
South Africa,ZAF,"GDP per capita, PPP (current international $)",13360.57401
Zambia,ZMB,"GDP per capita, PPP (current international $)",3457.610102
Zimbabwe,ZWE,"GDP per capita, PPP (current international $)",3537.351394
